human_reward,lambda_target,constraint_penalty,num_variables,num_qubo_terms,constant,best_all_energy,best_all_feasible,best_all_human_count,best_all_distance_from_target,best_all_assignment_violations,best_all_overlap_violations,best_all_precedence_violations,best_all_solution,best_feasible_energy,best_feasible_human_count,best_feasible_distance_from_target,best_feasible_solution,feasible_gap,best_all_feasible_int,best_all_target_consistent,best_all_target_consistent_int
0.0,3.0,5.0,15,105,13.0,7.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,7.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
1.0,2.0,5.0,15,105,12.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
1.0,3.0,5.0,15,105,13.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,1.0,5.0,15,105,11.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,2.0,5.0,15,105,12.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,3.0,5.0,15,105,13.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,0.5,5.0,15,105,10.5,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,1.0,5.0,15,105,11.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,2.0,5.0,15,105,12.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,3.0,5.0,15,105,13.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
4.0,2.0,5.0,15,105,12.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
4.0,3.0,5.0,15,105,13.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
0.0,3.0,10.0,15,105,23.0,7.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,7.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
1.0,2.0,10.0,15,105,22.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
1.0,3.0,10.0,15,105,23.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,1.0,10.0,15,105,21.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,2.0,10.0,15,105,22.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,3.0,10.0,15,105,23.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,0.5,10.0,15,105,20.5,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,1.0,10.0,15,105,21.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,2.0,10.0,15,105,22.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,3.0,10.0,15,105,23.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
4.0,2.0,10.0,15,105,22.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
4.0,3.0,10.0,15,105,23.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
0.0,3.0,30.0,15,105,63.0,7.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,7.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
1.0,2.0,30.0,15,105,62.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
1.0,3.0,30.0,15,105,63.0,6.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,6.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,1.0,30.0,15,105,61.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,2.0,30.0,15,105,62.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
2.0,3.0,30.0,15,105,63.0,5.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,5.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,0.5,30.0,15,105,60.5,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,1.0,30.0,15,105,61.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,2.0,30.0,15,105,62.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
3.0,3.0,30.0,15,105,63.0,4.300000000000001,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,4.300000000000001,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
4.0,2.0,30.0,15,105,62.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
4.0,3.0,30.0,15,105,63.0,3.3000000000000007,True,1,0,0,0,0,op0->machine@0-1; op1->human@1-2,3.3000000000000007,1,0,op0->machine@0-1; op1->human@1-2,0.0,1,True,1
